Gene stable ID	Gene stable ID version	Gene name	Gene start (bp)	Chromosome/scaffold name
ENSG00000210049	ENSG00000210049.1	MT-TF	577	MT
ENSG00000211459	ENSG00000211459.2	MT-RNR1	648	MT
ENSG00000210077	ENSG00000210077.1	MT-TV	1602	MT
ENSG00000210082	ENSG00000210082.2	MT-RNR2	1671	MT
ENSG00000209082	ENSG00000209082.1	MT-TL1	3230	MT
ENSG00000198888	ENSG00000198888.2	MT-ND1	3307	MT
ENSG00000210100	ENSG00000210100.1	MT-TI	4263	MT
ENSG00000210107	ENSG00000210107.1	MT-TQ	4329	MT
ENSG00000210112	ENSG00000210112.1	MT-TM	4402	MT
ENSG00000198763	ENSG00000198763.3	MT-ND2	4470	MT
ENSG00000210117	ENSG00000210117.1	MT-TW	5512	MT
ENSG00000210127	ENSG00000210127.1	MT-TA	5587	MT
ENSG00000210135	ENSG00000210135.1	MT-TN	5657	MT
ENSG00000210140	ENSG00000210140.1	MT-TC	5761	MT
ENSG00000210144	ENSG00000210144.1	MT-TY	5826	MT
ENSG00000198804	ENSG00000198804.2	MT-CO1	5904	MT
ENSG00000210151	ENSG00000210151.2	MT-TS1	7446	MT
ENSG00000210154	ENSG00000210154.1	MT-TD	7518	MT
ENSG00000198712	ENSG00000198712.1	MT-CO2	7586	MT
ENSG00000210156	ENSG00000210156.1	MT-TK	8295	MT
ENSG00000228253	ENSG00000228253.1	MT-ATP8	8366	MT
ENSG00000198899	ENSG00000198899.2	MT-ATP6	8527	MT
ENSG00000198938	ENSG00000198938.2	MT-CO3	9207	MT
ENSG00000210164	ENSG00000210164.1	MT-TG	9991	MT
ENSG00000198840	ENSG00000198840.2	MT-ND3	10059	MT
ENSG00000210174	ENSG00000210174.1	MT-TR	10405	MT
ENSG00000212907	ENSG00000212907.2	MT-ND4L	10470	MT
ENSG00000198886	ENSG00000198886.2	MT-ND4	10760	MT
ENSG00000210176	ENSG00000210176.1	MT-TH	12138	MT
ENSG00000210184	ENSG00000210184.1	MT-TS2	12207	MT
ENSG00000210191	ENSG00000210191.1	MT-TL2	12266	MT
ENSG00000198786	ENSG00000198786.2	MT-ND5	12337	MT
ENSG00000198695	ENSG00000198695.2	MT-ND6	14149	MT
ENSG00000210194	ENSG00000210194.1	MT-TE	14674	MT
ENSG00000198727	ENSG00000198727.2	MT-CYB	14747	MT
ENSG00000210195	ENSG00000210195.2	MT-TT	15888	MT
ENSG00000210196	ENSG00000210196.2	MT-TP	15956	MT
ENSG00000262477	ENSG00000262477.1	AC021224.1	32412182	18
ENSG00000201160	ENSG00000201160.1	RF00019	25697076	2
ENSG00000201570	ENSG00000201570.1	RNU4-56P	39970125	3
ENSG00000252673	ENSG00000252673.1	RNA5SP421	35754555	16
ENSG00000199395	ENSG00000199395.1	RNA5SP93	56235217	2
ENSG00000276544	ENSG00000276544.1	RN7SL453P	47692399	10
ENSG00000201869	ENSG00000201869.1	RNU6-294P	64573569	5
